CHROM	POS	area	nonzero sites	target depth	max depth	mean	shape
chr2	63551704	2327	167	23	23	13.934	0.083
chr2	61611082	2314	167	23	23	13.856	0.083
chr25	2060210	2568	176	25	25	14.591	0.083
chr2	48394698	3168	195	29	30	16.246	0.083
chr24	47116152	5800	264	53	55	21.970	0.083
chr24	37167852	4807	240	45	46	20.029	0.083
chr24	26760850	3681	210	32	32	17.529	0.083
chr23	51991896	3604	209	34	35	17.244	0.083
chr23	22402513	3912	217	38	38	18.028	0.083
chr23	13846319	4387	230	36	40	19.074	0.083
chr23	13793883	3904	217	40	41	17.991	0.083
chr20	52840238	3960	218	38	38	18.165	0.083
chr20	32074341	6838	287	63	64	23.826	0.083
chr20	28850176	5267	252	50	52	20.901	0.083
chr1	91435585	2401	170	23	23	14.124	0.083
chr18	36308036	4179	225	38	39	18.573	0.083
chr18	21605890	3700	211	38	39	17.536	0.083
chr18	13486388	2758	182	28	29	15.154	0.083
chr17	70699233	2146	161	23	23	13.329	0.083
chr17	36434055	3892	216	37	37	18.019	0.083
chr17	11789863	3860	216	37	37	17.870	0.083
chr17	11292819	2268	165	23	23	13.745	0.083
chr16	65329295	4170	224	37	37	18.616	0.083
chr16	60092779	4608	236	45	47	19.525	0.083
chr16	28714452	4124	223	39	39	18.493	0.083
chr16	21092477	3103	193	28	30	16.078	0.083
chr1	61469034	4368	229	24	42	19.074	0.083
chr15	51462695	2258	165	23	23	13.685	0.083
chr1	5496634	6432	279	57	57	23.054	0.083
chr15	43361684	3640	209	36	36	17.416	0.083
chr1	53968515	2663	179	30	30	14.877	0.083
chr1	53841825	4124	223	38	38	18.493	0.083
chr13	77319143	4675	238	37	42	19.643	0.083
chr12	59264326	6080	270	42	55	22.519	0.083
chr11	60548546	2554	175	25	25	14.594	0.083
chr11	55946128	4529	233	42	43	19.438	0.083
chr1	106015355	5187	250	46	47	20.748	0.083
chr10	86827485	2995	190	27	28	15.763	0.083
chr10	68474684	4295	227	39	43	18.921	0.083
chr10	4968121	4811	241	42	47	19.963	0.083
chr10	44481174	4233	226	42	42	18.730	0.083
chr9	58044058	2229	165	23	23	13.509	0.082
chr9	51304720	4020	222	38	39	18.108	0.082
chr8	89313849	3006	191	27	29	15.738	0.082
chr8	5113908	7882	310	71	73	25.426	0.082
chr7	47349961	3020	192	22	30	15.729	0.082
chr5	71045869	3297	200	33	33	16.485	0.082
chr5	62920849	3260	200	29	32	16.300	0.082
chr5	38963817	1782	147	18	19	12.122	0.082
chr5	107771912	3320	201	32	32	16.517	0.082
chr4	58115831	3558	208	32	32	17.106	0.082
chr4	4380629	2806	185	26	28	15.168	0.082
chr4	120490291	2936	189	29	29	15.534	0.082
chr3	93306872	3287	200	31	33	16.435	0.082
chr3	79025374	4063	222	33	38	18.302	0.082
chr3	14674364	6421	280	60	62	22.932	0.082
chr2	95752706	2949	190	27	27	15.521	0.082
chr29	25419744	4751	241	45	47	19.714	0.082
chr29	24109997	2714	182	29	30	14.912	0.082
chr28	14601833	3482	206	34	38	16.903	0.082
chr27	1467499	6347	278	57	60	22.831	0.082
chr27	10764824	1368	129	17	17	10.605	0.082
chr2	66860283	4225	227	37	39	18.612	0.082
chr26	37048073	1488	135	17	17	11.022	0.082
chr26	29596102	5626	262	47	52	21.473	0.082
chr26	21977580	1698	144	18	19	11.792	0.082
chr2	50744604	2167	163	22	22	13.294	0.082
chr2	47873554	5565	261	48	54	21.322	0.082
chr24	37194376	3534	208	31	34	16.990	0.082
chr24	11159274	7034	292	61	68	24.089	0.082
chr23	24157503	2851	186	27	30	15.328	0.082
chr22	35465697	4274	229	36	39	18.664	0.082
chr22	19286701	4303	229	39	43	18.790	0.082
chr2	13617840	2870	187	28	31	15.348	0.082
chr2	11925245	5352	255	49	49	20.988	0.082
chr21	19160288	4826	242	42	43	19.942	0.082
chr21	16172730	5775	265	55	55	21.792	0.082
chr2	113039608	2110	160	20	21	13.188	0.082
chr19	7059644	3235	199	29	30	16.256	0.082
chr19	12242220	3227	198	31	31	16.298	0.082
chr17	6978313	2501	175	25	25	14.291	0.082
chr17	15973859	4239	228	39	39	18.592	0.082
chr15	61600684	3418	204	32	35	16.755	0.082
chr1	54958272	2954	190	28	32	15.547	0.082
chr14	9125856	4612	237	33	45	19.460	0.082
chr1	47011180	2967	190	32	34	15.616	0.082
chr14	48572836	6193	275	56	57	22.520	0.082
chr13	79546002	4615	237	43	44	19.473	0.082
chr1	37385707	3170	197	27	30	16.091	0.082
chr13	3764222	1414	131	17	17	10.794	0.082
chr13	36117081	2554	176	30	30	14.511	0.082
chr13	2247712	4100	224	38	39	18.304	0.082
chr13	17555963	3085	194	32	33	15.902	0.082
chr12	46739953	5193	251	51	52	20.689	0.082
chr12	15124410	3834	216	37	37	17.750	0.082
chr11	25634381	3072	194	27	27	15.835	0.082
chr10	7490263	5277	253	53	53	20.858	0.082
chr10	62115154	3667	211	33	35	17.379	0.082
chr10	46312238	4673	238	46	47	19.634	0.082
chr9	54668172	5014	249	40	47	20.137	0.081
chr8	73907981	6035	273	57	58	22.106	0.081
chr8	65008793	5964	272	54	54	21.926	0.081
chr8	25133018	3487	208	34	34	16.764	0.081
chr7	72144514	3156	198	31	33	15.939	0.081
chr7	56943609	2608	179	25	26	14.570	0.081
chr7	28567403	2079	160	23	23	12.994	0.081
chr7	28363258	4234	229	35	41	18.489	0.081
chr6	63276324	4413	233	39	41	18.940	0.081
chr5	67992564	3229	200	30	31	16.145	0.081
chr5	112945810	4573	237	42	42	19.295	0.081
chr3	47541667	2386	172	23	24	13.872	0.081
chr3	27266521	4603	238	44	44	19.340	0.081
chr29	17532390	3406	205	30	30	16.615	0.081
chr26	31520566	3894	219	37	39	17.781	0.081
chr26	13478927	2877	189	28	29	15.222	0.081
chr2	53431930	4988	248	48	49	20.113	0.081
chr2	5193222	5413	258	45	52	20.981	0.081
chr24	25895036	2032	158	21	21	12.861	0.081
chr2	31020590	3868	219	32	37	17.662	0.081
chr22	55770122	2400	172	22	22	13.953	0.081
chr22	14056516	3049	194	29	30	15.716	0.081
chr21	52554931	3827	217	35	35	17.636	0.081
chr21	50205998	4086	224	35	38	18.241	0.081
chr21	3977413	2104	161	23	23	13.068	0.081
chr21	20248627	3877	219	36	37	17.703	0.081
chr19	7730694	2348	170	25	25	13.812	0.081
chr19	17118866	2015	158	20	20	12.753	0.081
chr18	65370371	2806	186	29	29	15.086	0.081
chr18	6372345	2969	191	31	31	15.545	0.081
chr1	75505401	3167	198	30	30	15.995	0.081
chr17	37933238	3812	217	34	35	17.567	0.081
chr16	47558130	2816	186	29	30	15.140	0.081
chr15	81255555	4330	231	43	43	18.745	0.081
chr1	53528572	4840	245	42	45	19.755	0.081
chr15	20989029	4016	223	36	37	18.009	0.081
chr1	47552064	3825	217	22	34	17.627	0.081
chr14	48256342	2610	180	27	27	14.500	0.081
chr1	44143106	2752	184	16	30	14.957	0.081
chr1	41955763	1371	130	15	15	10.546	0.081
chr13	41871615	3654	212	38	38	17.236	0.081
chr13	28659627	3215	199	30	31	16.156	0.081
chr13	25652792	1521	137	17	18	11.102	0.081
chr12	81491301	2744	184	30	30	14.913	0.081
chr12	65968004	4024	223	43	43	18.045	0.081
chr11	68484210	2340	170	23	24	13.765	0.081
chr11	50376329	4004	223	41	42	17.955	0.081
chr11	34868229	2176	164	19	22	13.268	0.081
chr11	33599292	6186	277	53	58	22.332	0.081
chr1	100041951	3331	203	32	32	16.409	0.081
chr10	5115849	2676	182	22	28	14.703	0.081
chr10	25907292	7566	305	63	64	24.807	0.081
chr9	6877255	4070	225	34	38	18.089	0.080
chr8	91464081	3672	214	35	35	17.159	0.080
chr8	80899427	4254	230	40	42	18.496	0.080
chr8	55054600	4668	241	44	44	19.369	0.080
chr8	4047353	4357	233	36	38	18.700	0.080
chr7	99344819	3397	206	32	35	16.490	0.080
chr7	72837914	2661	182	28	28	14.621	0.080
chr7	61932055	3990	224	32	39	17.813	0.080
chr7	29728710	5253	257	37	48	20.440	0.080
chr6	21829669	2918	191	29	29	15.277	0.080
chr5	96732913	3311	203	33	33	16.310	0.080
chr5	91471988	3237	201	21	34	16.104	0.080
chr5	70305630	2073	161	20	20	12.876	0.080
chr5	64190316	2299	170	23	23	13.524	0.080
chr5	16982382	4431	235	42	42	18.855	0.080
chr4	94153291	6891	293	56	70	23.519	0.080
chr4	7681541	4095	226	39	39	18.119	0.080
chr4	6604522	2437	175	24	27	13.926	0.080
chr4	26089424	2295	169	21	22	13.580	0.080
chr3	6974247	2718	184	26	27	14.772	0.080
chr29	34779972	5019	251	47	49	19.996	0.080
chr26	26547374	5421	261	40	51	20.770	0.080
chr26	21322556	4322	232	41	42	18.629	0.080
chr26	19069892	3725	216	34	34	17.245	0.080
chr2	61778817	6795	292	50	63	23.271	0.080
chr26	14934473	5460	261	50	50	20.920	0.080
chr26	11054560	8009	317	63	72	25.265	0.080
chr25	16704948	5827	270	55	56	21.581	0.080
chr25	16279899	3782	218	28	37	17.349	0.080
chr24	7812995	3305	203	30	30	16.281	0.080
chr2	45379046	3527	210	35	35	16.795	0.080
chr24	32541374	3031	195	24	30	15.544	0.080
chr23	21615471	3277	203	31	31	16.143	0.080
chr22	12188352	2242	167	24	24	13.425	0.080
chr21	28872195	3317	204	31	32	16.260	0.080
chr21	28018588	3294	203	31	33	16.227	0.080
chr21	26447778	3480	208	33	36	16.731	0.080
chr2	119015063	2117	163	21	21	12.988	0.080
chr2	111575977	2375	172	24	24	13.808	0.080
chr20	58111343	3559	211	32	33	16.867	0.080
chr20	53957729	3246	201	23	34	16.149	0.080
chr20	4425556	5849	271	57	58	21.583	0.080
chr20	27778070	3568	211	36	37	16.910	0.080
chr20	22698207	4218	229	29	40	18.419	0.080
chr1	9601017	4910	248	46	47	19.798	0.080
chr18	62571430	3079	196	32	32	15.709	0.080
chr18	20531299	4553	239	42	42	19.050	0.080
chr17	71610885	3006	194	33	33	15.495	0.080
chr1	70284932	3152	198	29	30	15.919	0.080
chr1	68353294	4756	244	38	44	19.492	0.080
chr1	67191386	4297	232	40	40	18.522	0.080
chr16	65962280	5183	255	50	51	20.325	0.080
chr16	31295953	3649	214	37	37	17.051	0.080
chr1	61681628	4283	232	41	44	18.461	0.080
chr15	78966607	3599	212	32	34	16.976	0.080
chr15	76466666	3166	199	28	32	15.910	0.080
chr1	57623334	4043	225	37	37	17.969	0.080
chr1	47524117	3239	201	28	32	16.114	0.080
chr13	67015368	2505	177	28	29	14.153	0.080
chr13	54629334	2206	166	20	23	13.289	0.080
chr13	3999094	3009	194	30	30	15.510	0.080
chr1	30606443	3851	219	36	37	17.584	0.080
chr12	80978460	2147	164	21	21	13.091	0.080
chr11	83168132	2478	176	23	23	14.080	0.080
chr1	15976385	4743	244	36	42	19.439	0.080
chr11	43886197	4148	227	40	41	18.273	0.080
chr1	129505484	3627	213	34	39	17.028	0.080
chr9	19896086	3602	214	35	35	16.832	0.079
chr8	8219118	4871	249	40	45	19.562	0.079
chr8	73330124	3358	206	31	32	16.301	0.079
chr8	57847725	4439	237	41	44	18.730	0.079
chr7	99687613	4612	241	43	43	19.137	0.079
chr7	85815848	3823	220	38	38	17.377	0.079
chr6	75298978	4923	249	36	48	19.771	0.079
chr6	20191909	2221	168	23	24	13.220	0.079
chr5	5668142	3932	223	40	40	17.632	0.079
chr5	50843761	2899	192	27	27	15.099	0.079
chr5	112521877	3165	200	29	31	15.825	0.079
chr5	105105447	2784	188	28	28	14.809	0.079
chr4	80706118	2878	191	26	26	15.068	0.079
chr4	63273236	6023	276	55	55	21.822	0.079
chr4	61629098	2904	192	29	30	15.125	0.079
chr4	12791860	4454	237	43	43	18.793	0.079
chr4	10737672	2121	164	23	23	12.933	0.079
chr3	8602703	2272	170	21	23	13.365	0.079
chr3	85126310	5947	274	48	56	21.704	0.079
chr3	15724766	3749	218	38	38	17.197	0.079
chr3	11563039	4796	247	41	45	19.417	0.079
chr29	46527675	5285	259	51	52	20.405	0.079
chr29	30201804	3161	200	25	32	15.805	0.079
chr29	17226224	2772	187	30	31	14.824	0.079
chr2	89845084	3041	196	29	29	15.515	0.079
chr26	30284186	3116	199	33	33	15.658	0.079
chr2	62827653	2893	191	28	31	15.147	0.079
chr25	39112931	3833	220	35	39	17.423	0.079
chr24	26312935	4325	234	42	42	18.483	0.079
chr23	35568449	4834	247	45	45	19.571	0.079
chr2	32770766	3704	217	34	35	17.069	0.079
chr2	25609913	1908	155	20	20	12.310	0.079
chr22	42616544	4692	243	43	44	19.309	0.079
chr22	26504085	2329	172	25	25	13.541	0.079
chr21	5892593	3101	198	25	36	15.662	0.079
chr21	45417601	3455	209	32	32	16.531	0.079
chr21	29675952	2918	192	27	27	15.198	0.079
chr21	11190006	4565	240	39	41	19.021	0.079
chr20	44963021	3365	207	34	36	16.256	0.079
chr20	26602522	3597	213	30	36	16.887	0.079
chr19	5478121	4780	246	46	46	19.431	0.079
chr1	95423064	3668	215	32	34	17.060	0.079
chr19	47071990	2993	195	31	31	15.349	0.079
chr19	44743979	2927	193	31	31	15.166	0.079
chr19	3793022	3491	210	31	34	16.624	0.079
chr1	91857654	1479	137	16	16	10.796	0.079
chr1	89900841	5458	263	51	55	20.753	0.079
chr18	9582368	3953	223	40	41	17.726	0.079
chr18	8061696	2869	191	27	29	15.021	0.079
chr18	46757465	3131	199	36	37	15.734	0.079
chr18	23488630	3248	203	31	31	16.000	0.079
chr1	8148040	4152	229	37	38	18.131	0.079
chr17	63990602	4288	233	40	41	18.403	0.079
chr1	76295385	4341	234	41	41	18.551	0.079
chr17	10405915	3739	218	39	39	17.151	0.079
chr1	67734487	6243	281	53	57	22.217	0.079
chr16	67067113	2872	191	25	29	15.037	0.079
chr15	59434019	2351	173	23	24	13.590	0.079
chr15	41240683	2708	185	24	24	14.638	0.079
chr15	13077555	6523	288	56	57	22.649	0.079
chr1	46283540	4320	234	42	43	18.462	0.079
chr14	58068797	2706	185	18	28	14.627	0.079
chr14	44791495	3612	214	33	33	16.879	0.079
chr1	4029124	2864	190	26	31	15.074	0.079
chr13	39799860	4949	251	46	47	19.717	0.079
chr1	28242624	3967	224	37	37	17.710	0.079
chr1	23869906	4402	236	31	45	18.653	0.079
chr12	15888595	4641	243	44	44	19.099	0.079
chr11	24469873	2792	188	28	28	14.851	0.079
chr10	45207314	3189	201	24	31	15.866	0.079
chr9	93314046	2356	174	22	23	13.540	0.078
chr9	8445312	3012	196	30	30	15.367	0.078
chr9	83461689	1648	145	18	19	11.366	0.078
chr9	64207420	4388	237	43	43	18.515	0.078
chr9	28043835	4543	241	41	41	18.851	0.078
chr9	103108621	4416	238	39	40	18.555	0.078
chr8	977327	2863	192	28	29	14.911	0.078
chr8	31801888	3394	208	31	31	16.317	0.078
chr8	20112384	3706	218	37	37	17.000	0.078
chr7	89830526	3619	215	35	35	16.833	0.078
chr7	79722955	3248	204	33	33	15.922	0.078
chr7	65414631	3592	214	30	32	16.785	0.078
chr7	49276679	4256	233	38	38	18.266	0.078
chr7	13336300	2893	192	30	30	15.068	0.078
chr6	62642434	6234	283	53	58	22.028	0.078
chr5	93871153	4662	244	38	42	19.107	0.078
chr5	82036799	3049	198	27	29	15.399	0.078
chr5	30061769	2819	190	23	28	14.837	0.078
chr4	88741838	4205	232	38	39	18.125	0.078
chr4	75153934	6426	287	53	57	22.390	0.078
chr4	68452655	4701	245	32	46	19.188	0.078
chr4	66287746	2918	194	22	29	15.041	0.078
chr4	60324044	2249	170	23	24	13.229	0.078
chr3	34494338	4863	249	42	48	19.530	0.078
chr3	29187682	4870	250	41	48	19.480	0.078
chr2	97929852	1437	136	16	17	10.566	0.078
chr28	26786092	4140	231	38	38	17.922	0.078
chr28	23278034	4129	230	37	39	17.952	0.078
chr27	3445005	2881	192	27	27	15.005	0.078
chr2	73209336	4509	240	41	47	18.788	0.078
chr27	14028862	1904	156	20	20	12.205	0.078
chr27	11413200	1692	147	18	18	11.510	0.078
chr27	10864278	2981	196	27	28	15.209	0.078
chr26	43902768	5180	258	47	49	20.078	0.078
chr26	32601264	3546	213	36	36	16.648	0.078
chr26	13781199	2590	182	23	23	14.231	0.078
chr25	7393864	3722	218	39	39	17.073	0.078
chr25	28049887	2570	182	20	27	14.121	0.078
chr25	17891875	2013	161	19	21	12.503	0.078
chr25	16169589	3392	209	34	36	16.230	0.078
chr24	48284744	3269	205	30	30	15.946	0.078
chr24	17252573	2305	172	22	23	13.401	0.078
chr24	11625174	3478	211	39	40	16.483	0.078
chr2	36850913	3351	207	28	37	16.188	0.078
chr23	49900419	2503	179	25	26	13.983	0.078
chr23	40770598	4394	238	38	42	18.462	0.078
chr23	28223273	2132	165	17	23	12.921	0.078
chr23	24053848	3051	198	32	32	15.409	0.078
chr23	20215610	5073	255	34	50	19.894	0.078
chr22	8838210	3015	197	27	27	15.305	0.078
chr22	54212981	3641	216	37	39	16.856	0.078
chr2	21980039	3130	200	29	30	15.650	0.078
chr22	14688384	3715	218	33	33	17.041	0.078
chr21	49594233	3636	216	40	40	16.833	0.078
chr20	30625103	5631	268	45	46	21.011	0.078
chr20	24544145	2220	169	21	22	13.136	0.078
chr19	7163881	4929	251	43	43	19.637	0.078
chr1	91001079	2571	181	25	25	14.204	0.078
chr17	7794592	2656	185	26	26	14.357	0.078
chr17	43300787	5831	273	48	54	21.359	0.078
chr17	39773796	5464	264	49	50	20.697	0.078
chr17	2748830	4494	240	40	40	18.725	0.078
chr1	70660313	2638	184	28	28	14.337	0.078
chr16	33329766	2993	196	28	31	15.270	0.078
chr15	84206386	5450	264	32	54	20.644	0.078
chr14	60014439	4521	240	39	41	18.837	0.078
chr13	8580382	2780	189	25	26	14.709	0.078
chr13	42660951	5686	270	50	53	21.059	0.078
chr13	31560144	4310	235	37	45	18.340	0.078
chr12	46190926	2069	163	22	22	12.693	0.078
chr11	29444818	5286	261	45	45	20.253	0.078
chr1	119106825	3529	213	30	34	16.568	0.078
chr10	74701671	3298	206	31	31	16.010	0.078
chr10	65897686	3698	218	35	35	16.963	0.078
chr9	98759213	7299	308	65	68	23.698	0.077
chr9	74175487	4378	239	37	42	18.318	0.077
chr8	33112254	1656	147	18	18	11.265	0.077
chr8	13929540	5210	260	50	52	20.038	0.077
chr7	99845132	3806	223	38	39	17.067	0.077
chr7	66107950	3352	209	33	34	16.038	0.077
chr7	49640895	4750	249	39	41	19.076	0.077
chr6	93961098	1782	152	20	20	11.724	0.077
chr6	28213460	4308	236	42	44	18.254	0.077
chr5	60513091	3912	226	35	35	17.310	0.077
chr5	50806659	3379	209	32	36	16.167	0.077
chr5	109274267	2807	191	26	27	14.696	0.077
chr5	107553914	3554	215	33	34	16.530	0.077
chr4	90275282	5667	272	54	54	20.835	0.077
chr4	870436	3540	215	31	31	16.465	0.077
chr4	76463063	4393	239	37	44	18.381	0.077
chr4	115531862	2426	177	24	25	13.706	0.077
chr3	89489289	8019	323	73	79	24.827	0.077
chr3	13704029	4088	230	41	41	17.774	0.077
chr29	13565981	3845	224	37	37	17.165	0.077
chr28	19699897	4159	233	42	42	17.850	0.077
chr2	75126637	4084	231	35	39	17.680	0.077
chr27	28148659	3965	227	29	38	17.467	0.077
chr27	169362	3245	205	33	34	15.829	0.077
chr26	4511530	4490	241	45	45	18.631	0.077
chr2	63581954	4835	251	43	44	19.263	0.077
chr26	35619631	3480	213	32	32	16.338	0.077
chr25	18448554	5716	272	51	56	21.015	0.077
chr25	1665326	2877	193	32	32	14.907	0.077
chr23	50265077	5020	256	50	51	19.609	0.077
chr23	27485466	4751	249	42	45	19.080	0.077
chr22	38553082	2312	173	24	24	13.364	0.077
chr22	31527794	3271	206	33	33	15.879	0.077
chr20	50935018	2894	194	27	27	14.918	0.077
chr20	45994677	2603	184	27	28	14.147	0.077
chr20	2265565	5884	277	50	53	21.242	0.077
chr18	33017637	3571	216	33	37	16.532	0.077
chr1	75566469	2271	172	21	24	13.203	0.077
chr17	37493843	3034	199	20	32	15.246	0.077
chr17	2406733	2693	187	22	25	14.401	0.077
chr17	11001695	6204	283	57	58	21.922	0.077
chr16	65695369	2949	196	29	29	15.046	0.077
chr16	54664680	4837	250	43	43	19.348	0.077
chr1	59796998	2151	167	21	21	12.880	0.077
chr15	84399591	3983	227	41	42	17.546	0.077
chr15	37338266	2972	196	32	32	15.163	0.077
chr14	59139877	5534	268	50	52	20.649	0.077
chr14	50747169	4088	230	36	41	17.774	0.077
chr13	679008	3497	213	31	31	16.418	0.077
chr12	82631954	2068	164	21	22	12.610	0.077
chr1	25010798	2238	171	23	23	13.088	0.077
chr12	47788772	2844	192	28	30	14.812	0.077
chr12	22705056	4384	239	36	40	18.343	0.077
chr11	7118254	4387	238	43	43	18.433	0.077
chr11	35004149	3304	207	31	31	15.961	0.077
chr11	3016908	3096	200	28	32	15.480	0.077
chr11	19971031	5435	266	51	51	20.432	0.077
chr11	1920091	7366	309	67	68	23.838	0.077
chr1	115185214	4341	238	38	40	18.239	0.077
chr10	37830641	4460	240	44	44	18.583	0.077
chr9	93472325	2641	186	26	26	14.199	0.076
chr9	87759768	1996	162	20	20	12.321	0.076
chr8	53270231	2083	166	21	21	12.548	0.076
chr8	18112642	4280	238	42	42	17.983	0.076
chr7	93834123	4276	237	36	40	18.042	0.076
chr7	26893085	2100	166	20	21	12.651	0.076
chr6	25356964	2384	177	23	24	13.469	0.076
chr6	108635820	2189	170	25	28	12.876	0.076
chr6	102963501	3561	216	36	39	16.486	0.076
chr5	71499452	3532	215	27	38	16.428	0.076
chr5	118329916	2445	179	25	26	13.659	0.076
chr4	18689579	6649	296	59	61	22.463	0.076
chr4	117758135	4406	240	34	42	18.358	0.076
chr3	97850165	2155	168	22	22	12.827	0.076
chr3	73465082	2134	168	20	20	12.702	0.076
chr3	69421919	3426	213	30	32	16.085	0.076
chr3	67444199	2225	171	23	23	13.012	0.076
chr3	62483580	2159	169	22	22	12.775	0.076
chr3	111072191	2558	183	22	22	13.978	0.076
chr29	1104257	2529	182	23	25	13.896	0.076
chr28	27477254	2005	162	20	21	12.377	0.076
chr28	17331594	5492	268	47	52	20.493	0.076
chr2	78839134	2681	188	25	27	14.261	0.076
chr26	25927480	4912	255	46	47	19.263	0.076
chr26	22383644	9513	353	73	90	26.949	0.076
chr25	25228585	3183	204	30	31	15.603	0.076
chr2	52109716	2118	167	24	24	12.683	0.076
chr25	16647251	3388	211	37	37	16.057	0.076
chr25	15459512	1880	157	20	21	11.975	0.076
chr24	60148924	1690	149	18	18	11.342	0.076
chr24	39181119	3053	200	28	29	15.265	0.076
chr24	20662649	4975	256	45	48	19.434	0.076
chr2	37769597	1477	139	15	15	10.626	0.076
chr23	24640421	2480	181	25	30	13.702	0.076
chr22	20591178	4184	234	39	42	17.880	0.076
chr21	64292329	4140	233	36	39	17.768	0.076
chr2	127860491	2432	179	28	28	13.587	0.076
chr2	126126853	4077	232	39	39	17.573	0.076
chr21	14915707	3775	223	39	40	16.928	0.076
chr20	7491950	4093	232	32	35	17.642	0.076
chr20	65064786	3284	208	34	35	15.788	0.076
chr20	23991820	4763	250	42	44	19.052	0.076
chr19	1948291	3596	217	34	35	16.571	0.076
chr17	41342298	3891	226	26	39	17.217	0.076
chr17	16871711	2590	185	23	24	14.000	0.076
chr16	55752130	2585	185	25	25	13.973	0.076
chr1	65433705	4647	247	40	41	18.814	0.076
chr16	38352594	3984	229	38	39	17.397	0.076
chr1	57941194	2505	181	25	25	13.840	0.076
chr15	66681362	5120	260	44	45	19.692	0.076
chr15	5371775	4556	245	45	45	18.596	0.076
chr15	45634799	3971	228	37	37	17.417	0.076
chr15	20795417	2902	196	29	29	14.806	0.076
chr1	48701611	4387	240	38	41	18.279	0.076
chr14	82745091	2032	164	16	21	12.390	0.076
chr14	69709009	2922	196	30	31	14.908	0.076
chr14	29856944	3438	213	32	35	16.141	0.076
chr1	40621579	3518	215	37	37	16.363	0.076
chr1	39779726	3194	205	27	32	15.580	0.076
chr1	35367692	4622	247	40	44	18.713	0.076
chr13	45075194	2244	172	21	22	13.047	0.076
chr13	15146914	4141	233	37	41	17.773	0.076
chr12	88245783	3116	203	29	29	15.350	0.076
chr12	66367860	2013	163	21	22	12.350	0.076
chr12	23991212	3947	228	36	36	17.311	0.076
chr11	46523734	3086	202	28	29	15.277	0.076
chr1	108935412	4368	239	42	42	18.276	0.076
chr10	82405556	3272	207	33	33	15.807	0.076
chr10	71022678	1977	161	20	20	12.280	0.076
chr10	32598178	3832	224	26	36	17.107	0.076
chr10	18811353	2396	178	18	27	13.461	0.076
chr9	91957394	5844	280	50	50	20.871	0.075
chr9	8245431	2972	199	27	30	14.935	0.075
chr8	88931058	3796	225	37	37	16.871	0.075
chr8	75514238	2984	200	27	28	14.920	0.075
chr8	10796155	2405	179	23	24	13.436	0.075
chr7	51021368	4344	241	38	39	18.025	0.075
chr7	108964272	2269	174	20	25	13.040	0.075
chr6	115360263	2532	184	24	24	13.761	0.075
chr5	100139179	4658	249	36	41	18.707	0.075
chr4	96436123	4622	249	45	45	18.562	0.075
chr4	84274237	2486	182	26	26	13.659	0.075
chr4	7338369	1492	141	14	16	10.582	0.075
chr4	19247777	2810	194	25	25	14.485	0.075
chr4	100378456	4820	254	35	45	18.976	0.075
chr3	93543744	2522	183	25	26	13.781	0.075
chr3	116035967	3566	218	33	35	16.358	0.075
chr29	27592954	4820	254	41	42	18.976	0.075
chr2	77226463	3104	203	26	32	15.291	0.075
chr2	67484627	4129	235	41	41	17.570	0.075
chr26	36631882	2661	188	25	28	14.154	0.075
chr26	16791782	4517	245	42	42	18.437	0.075
chr2	61632430	3129	204	30	30	15.338	0.075
chr25	38122121	2415	180	23	25	13.417	0.075
chr25	14316608	2838	195	26	29	14.554	0.075
chr25	14257074	1679	150	19	19	11.193	0.075
chr24	54736872	4815	253	50	50	19.032	0.075
chr2	39813499	8264	331	70	74	24.967	0.075
chr23	31675505	3954	229	35	36	17.266	0.075
chr23	11007994	2214	172	22	23	12.872	0.075
chr22	45447999	4272	238	38	40	17.950	0.075
chr22	18884774	4739	252	46	46	18.806	0.075
chr21	7283842	4882	255	45	47	19.145	0.075
chr2	118054343	2446	181	22	22	13.514	0.075
chr20	40004924	2005	163	17	20	12.301	0.075
chr20	39141814	4972	258	43	46	19.271	0.075
chr1	99769146	4445	243	42	45	18.292	0.075
chr18	15389798	2461	181	24	26	13.597	0.075
chr18	10075855	3517	216	31	33	16.282	0.075
chr1	79009806	3079	203	28	29	15.167	0.075
chr1	74751226	2932	198	29	29	14.808	0.075
chr17	16003680	2556	185	18	26	13.816	0.075
chr17	10774290	3956	229	37	37	17.275	0.075
chr17	10307652	1925	160	17	18	12.031	0.075
chr1	68457521	3958	229	38	38	17.284	0.075
chr1	66797314	3746	223	37	37	16.798	0.075
chr15	73152352	2561	185	25	27	13.843	0.075
chr1	52493771	2968	199	27	28	14.915	0.075
chr15	19059567	2664	189	25	25	14.095	0.075
chr14	8425400	2695	189	27	27	14.259	0.075
chr1	47251773	3234	207	32	34	15.623	0.075
chr14	55491642	5422	268	50	51	20.231	0.075
chr13	9352789	4318	240	34	40	17.992	0.075
chr13	54804052	2303	175	17	25	13.160	0.075
chr13	32979252	3471	215	34	34	16.144	0.075
chr1	33068788	6738	299	61	62	22.535	0.075
chr12	70224732	3195	206	29	29	15.510	0.075
chr12	65662260	3447	214	32	34	16.107	0.075
chr1	18437723	4190	236	36	41	17.754	0.075
chr11	77298453	3628	220	37	37	16.491	0.075
chr10	87916082	2625	187	26	26	14.037	0.075
chr10	84491670	3790	225	35	35	16.844	0.075
chr10	100871193	3964	230	30	38	17.235	0.075
chr9	74823337	3491	217	31	33	16.088	0.074
chr9	6262125	2221	173	22	24	12.838	0.074
chr9	48881373	2823	195	27	27	14.477	0.074
